,Zip Code,Students Standard Exceeded,Students Standard Met,Students Standard Met and Above,Students Standard Nearly Met,Students Standard Not Met,Students with Scores,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Median Mortgage
0,90001,10.0,45.0,55.0,114.0,225.0,394,2.5380710659898478,11.421319796954315,13.959390862944163,28.934010152284262,57.10659898477157,425200
1,90002,1.0,8.0,9.0,24.0,62.0,95,1.0526315789473684,8.421052631578947,9.473684210526317,25.263157894736842,65.26315789473685,411500
2,90003,15.0,80.0,95.0,152.0,320.0,567,2.6455026455026456,14.109347442680775,16.75485008818342,26.807760141093475,56.4373897707231,430800
3,90004,13.0,28.0,41.0,20.0,43.0,104,12.5,26.923076923076923,39.42307692307692,19.230769230769234,41.34615384615385,1148400
4,90005,46.0,78.0,124.0,122.0,214.0,460,10.0,16.956521739130434,26.956521739130434,26.521739130434785,46.52173913043478,964700
5,90006,15.0,23.0,38.0,36.0,46.0,120,12.5,19.166666666666668,31.666666666666664,30.0,38.333333333333336,716900
6,90007,61.0,115.0,176.0,268.0,559.0,1003,6.0817547357926225,11.465603190428714,17.547357926221334,26.719840478564304,55.732801595214355,717300
7,90010,3.0,8.0,11.0,19.0,37.0,67,4.477611940298507,11.940298507462686,16.417910447761194,28.35820895522388,55.223880597014926,822100
8,90011,24.0,89.0,113.0,217.0,446.0,776,3.0927835051546393,11.469072164948454,14.561855670103094,27.963917525773198,57.47422680412371,452100
9,90012,85.0,111.0,196.0,129.0,155.0,480,17.708333333333336,23.125,40.833333333333336,26.875,32.29166666666667,633000
10,90013,50.0,72.0,122.0,95.0,158.0,375,13.333333333333334,19.2,32.53333333333333,25.333333333333336,42.13333333333333,664800
11,90015,13.0,40.0,53.0,115.0,250.0,418,3.110047846889952,9.569377990430622,12.679425837320574,27.51196172248804,59.80861244019139,715000
12,90016,15.0,56.0,71.0,158.0,373.0,602,2.4916943521594686,9.30232558139535,11.794019933554816,26.245847176079735,61.96013289036545,677500
13,90017,14.0,53.0,67.0,128.0,322.0,517,2.7079303675048356,10.251450676982591,12.959381044487428,24.758220502901356,62.28239845261122,697100
14,90018,15.0,33.0,48.0,42.0,74.0,164,9.146341463414634,20.121951219512198,29.268292682926827,25.609756097560975,45.1219512195122,704300
15,90019,22.0,48.0,70.0,81.0,148.0,299,7.357859531772576,16.05351170568562,23.411371237458194,27.09030100334448,49.49832775919732,1033900
16,90020,27.0,82.0,109.0,139.0,189.0,437,6.178489702517163,18.76430205949657,24.94279176201373,31.80778032036613,43.24942791762014,650300
17,90021,0.0,4.0,4.0,11.0,60.0,75,0.0,5.333333333333334,5.333333333333334,14.666666666666666,80.0,1013900
18,90022,69.0,235.0,304.0,390.0,733.0,1427,4.835318850735809,16.468114926419062,21.303433777154872,27.330063069376315,51.36650315346881,471000
19,90023,9.0,38.0,47.0,79.0,109.0,235,3.829787234042553,16.170212765957448,20.0,33.61702127659574,46.38297872340426,479600
20,90025,162.0,185.0,347.0,222.0,227.0,796,20.35175879396985,23.241206030150753,43.5929648241206,27.889447236180903,28.51758793969849,905900
21,90026,25.0,63.0,88.0,200.0,408.0,696,3.5919540229885056,9.051724137931034,12.643678160919542,28.735632183908045,58.620689655172406,962100
22,90027,76.0,83.0,159.0,75.0,46.0,280,27.142857142857142,29.642857142857142,56.785714285714285,26.785714285714285,16.428571428571427,1287200
23,90028,20.0,51.0,71.0,93.0,175.0,339,5.899705014749262,15.04424778761062,20.943952802359885,27.43362831858407,51.62241887905604,723000
24,90031,83.0,181.0,264.0,293.0,577.0,1134,7.319223985890652,15.961199294532626,23.28042328042328,25.83774250440917,50.88183421516755,616900
25,90032,20.0,52.0,72.0,78.0,119.0,269,7.434944237918216,19.33085501858736,26.765799256505574,28.99628252788104,44.237918215613384,605400
26,90033,155.0,262.0,417.0,348.0,483.0,1248,12.419871794871796,20.993589743589745,33.41346153846153,27.884615384615387,38.70192307692308,538900
27,90034,36.0,75.0,111.0,113.0,129.0,353,10.198300283286118,21.246458923512748,31.444759206798867,32.01133144475921,36.54390934844193,1152500
28,90035,68.0,63.0,131.0,34.0,47.0,212,32.075471698113205,29.71698113207547,61.79245283018868,16.037735849056602,22.169811320754718,1494600
29,90036,0.0,0.0,0.0,2.0,9.0,11,0.0,0.0,0.0,18.181818181818183,81.81818181818183,1634700
30,90037,24.0,56.0,80.0,95.0,196.0,371,6.46900269541779,15.09433962264151,21.563342318059302,25.60646900269542,52.83018867924528,502000
31,90040,20.0,72.0,92.0,152.0,376.0,620,3.225806451612903,11.612903225806452,14.838709677419354,24.516129032258064,60.64516129032258,452100
32,90041,60.0,64.0,124.0,88.0,177.0,389,15.424164524421593,16.452442159383033,31.876606683804624,22.62210796915167,45.501285347043705,886800
33,90042,37.0,65.0,102.0,82.0,92.0,276,13.405797101449277,23.55072463768116,36.95652173913043,29.71014492753623,33.33333333333333,731600
34,90043,35.0,96.0,131.0,256.0,585.0,972,3.60082304526749,9.876543209876543,13.477366255144032,26.337448559670783,60.18518518518518,684500
35,90044,1.0,11.0,12.0,27.0,73.0,112,0.8928571428571428,9.821428571428571,10.714285714285714,24.107142857142858,65.17857142857143,461200
36,90045,157.0,133.0,290.0,159.0,176.0,625,25.119999999999997,21.279999999999998,46.400000000000006,25.44,28.16,1103500
37,90046,43.0,66.0,109.0,69.0,96.0,274,15.693430656934307,24.087591240875913,39.78102189781022,25.18248175182482,35.03649635036496,1290400
38,90047,40.0,96.0,136.0,204.0,491.0,831,4.813477737665464,11.552346570397113,16.365824308062578,24.548736462093864,59.08543922984356,519400
39,90057,66.0,72.0,138.0,130.0,173.0,441,14.965986394557824,16.3265306122449,31.292517006802722,29.47845804988662,39.229024943310655,576200
40,90059,23.0,90.0,113.0,120.0,129.0,362,6.353591160220995,24.861878453038674,31.215469613259668,33.14917127071823,35.635359116022094,415100
41,90061,0.0,11.0,11.0,25.0,43.0,79,0.0,13.924050632911392,13.924050632911392,31.645569620253166,54.43037974683544,438800
42,90062,2.0,7.0,9.0,27.0,127.0,163,1.2269938650306749,4.294478527607362,5.521472392638037,16.56441717791411,77.91411042944786,550600
43,90063,14.0,50.0,64.0,154.0,384.0,602,2.3255813953488373,8.305647840531561,10.631229235880399,25.581395348837212,63.78737541528239,481100
44,90064,1.0,2.0,3.0,6.0,17.0,26,3.8461538461538463,7.6923076923076925,11.538461538461538,23.076923076923077,65.38461538461539,1388300
45,90065,102.0,109.0,211.0,161.0,199.0,571,17.86339754816112,19.089316987740805,36.952714535901926,28.19614711033275,34.85113835376533,833400
46,90066,42.0,73.0,115.0,89.0,142.0,346,12.138728323699421,21.09826589595376,33.23699421965318,25.722543352601157,41.040462427745666,1282100
47,90201,208.0,426.0,634.0,898.0,2162.0,3694,5.630752571737953,11.532214401732539,17.162966973470493,24.309691391445586,58.52734163508392,440500
48,90210,85.0,110.0,195.0,67.0,39.0,301,28.23920265780731,36.544850498338874,64.78405315614619,22.259136212624583,12.956810631229235,2000000
49,90211,127.0,88.0,215.0,103.0,42.0,360,35.27777777777778,24.444444444444443,59.72222222222222,28.61111111111111,11.666666666666666,2000000
50,90212,311.0,263.0,574.0,257.0,224.0,1055,29.47867298578199,24.928909952606634,54.40758293838862,24.360189573459714,21.232227488151658,2000000
51,90230,722.0,642.0,1364.0,619.0,517.0,2500,28.88,25.679999999999996,54.559999999999995,24.759999999999998,20.68,849200
52,90232,120.0,107.0,227.0,121.0,170.0,518,23.166023166023166,20.656370656370658,43.82239382239382,23.35907335907336,32.818532818532816,1219100
53,90245,611.0,476.0,1087.0,421.0,272.0,1780,34.32584269662921,26.741573033707866,61.06741573033708,23.651685393258425,15.280898876404494,1244200
54,90248,8.0,40.0,48.0,85.0,158.0,291,2.7491408934707904,13.745704467353953,16.49484536082474,29.20962199312715,54.29553264604811,571200
55,90250,60.0,94.0,154.0,209.0,388.0,751,7.989347536617843,12.51664447403462,20.505992010652463,27.82956058588549,51.664447403462056,661400
56,90255,52.0,160.0,212.0,255.0,332.0,799,6.508135168961202,20.02503128911139,26.533166458072593,31.914893617021278,41.55193992490614,455000
57,90260,45.0,142.0,187.0,275.0,628.0,1090,4.128440366972478,13.027522935779817,17.155963302752294,25.229357798165136,57.61467889908257,597300
58,90262,239.0,646.0,885.0,1501.0,3645.0,6031,3.9628585640855576,10.71132482175427,14.674183385839829,24.888078262311392,60.43773835184878,449600
59,90265,28.0,30.0,58.0,32.0,27.0,117,23.931623931623932,25.64102564102564,49.572649572649574,27.350427350427353,23.076923076923077,2000000
60,90266,38.0,17.0,55.0,15.0,9.0,79,48.10126582278481,21.518987341772153,69.62025316455697,18.9873417721519,11.39240506329114,2000000
61,90270,17.0,65.0,82.0,98.0,185.0,365,4.657534246575342,17.80821917808219,22.465753424657535,26.84931506849315,50.68493150684932,481800
62,90280,105.0,312.0,417.0,514.0,839.0,1770,5.932203389830509,17.627118644067796,23.559322033898304,29.039548022598872,47.40112994350282,470200
63,90291,97.0,76.0,173.0,56.0,32.0,261,37.16475095785441,29.118773946360154,66.28352490421456,21.455938697318008,12.260536398467432,1899800
64,90301,59.0,159.0,218.0,389.0,1145.0,1752,3.3675799086757987,9.075342465753424,12.442922374429223,22.203196347031966,65.35388127853882,547900
